x y z
0.8125 0.5 1106.5285614826078
0.8125 0.5625 1111.0226164970343
0.8125 0.625 1115.7485959417731
0.8125 0.6875 1120.6609085855162
0.8125 0.75 1125.7253347253713
0.8125 0.8125 1130.9154209363958
0.8125 0.875 1136.210209993611
0.8125 0.9375 1141.5927521057235
0.8125 1.0 1147.0490945682352
0.8125 1.0625 1152.5675757842973
0.8125 1.125 1158.138319361538
0.8125 1.1875 1163.7528635084368
0.8125 1.25 1169.4038842232721
0.8125 1.3125 1175.084984942057
0.8125 1.375 1180.790534204842
0.8125 1.4375 1186.5155386282838
0.8125 1.5 1192.25554225007
0.8125 1.5625 1198.0065458551746
0.8125 1.625 1203.7649416405607
0.8125 1.6875 1209.5274597950138
0.8125 1.75 1215.2911244365416
0.8125 1.8125 1221.053216973134
0.8125 1.875 1226.8112454075422
0.8125 1.9375 1232.562918442748
0.8125 2.0 1238.3061234959114

0.875 0.0625 1098.3380988507508
0.875 0.125 1092.4777112265351
0.875 0.1875 1091.8204461061196
0.875 0.25 1093.3040147370712
0.875 0.3125 1095.9662335672924
0.875 0.375 1099.3767117503805
0.875 0.4375 1103.3044945464308
0.875 0.5 1107.610651235966
0.875 0.5625 1112.2047126189566
0.875 0.625 1117.0242108004222
0.875 0.6875 1122.024015676596
0.875 0.75 1127.1703254078197
0.875 0.8125 1132.4370661940739
0.875 0.875 1137.8036265375335
0.875 0.9375 1143.25337223829
0.875 1.0 1148.7726393190999
0.875 1.0625 1154.3500309006615
0.875 1.125 1159.9759137964973
0.875 1.1875 1165.6420501019538
0.875 1.25 1171.341322313069
0.875 1.3125 1177.067524677744
0.875 1.375 1182.8152023690852
0.875 1.4375 1188.579525794665
0.875 1.5 1194.356191129329
0.875 1.5625 1200.141340700352
0.875 1.625 1205.9314985976941
0.875 1.6875 1211.7235180999137
0.875 1.75 1217.5145383701365
0.875 1.8125 1223.3019484982071
0.875 1.875 1229.0833574186688
0.875 1.9375 1234.856568569001
0.875 2.0 1240.6195584027196

0.9375 0.0625 1098.799376972409
0.9375 0.125 1093.0787902321276
0.9375 0.1875 1092.5518993959174
0.9375 0.25 1094.1571705181789
0.9375 0.3125 1096.9330950135704
0.9375 0.375 1100.449887558753
0.9375 0.4375 1104.4771382998413
0.9375 0.5 1108.8764082611817
0.9375 0.5625 1113.5576732508978
0.9375 0.625 1118.458869145497
0.9375 0.6875 1123.5352331146444
0.9375 0.75 1128.7532981926306
0.9375 0.8125 1134.0872966114243
0.9375 0.875 1139.5168971614873
0.9375 0.9375 1145.0257228944085
0.9375 1.0 1150.6003464198402
0.9375 1.0625 1156.229588865653
0.9375 1.125 1161.9040183102632
0.9375 1.1875 1167.6155829952759
0.9375 1.25 1173.357337882701
0.9375 1.3125 1179.1232372834065
0.9375 1.375 1184.907975167314
0.9375 1.4375 1190.7068604867868
0.9375 1.5 1196.5157186159915
0.9375 1.5625 1202.3308125480833
0.9375 1.625 1208.148779234267
0.9375 1.6875 1213.9665776650154
0.9375 1.75 1219.7814461563328
0.9375 1.8125 1225.5908669245384
0.9375 1.875 1231.392536485658
0.9375 1.9375 1237.1843407494646
0.9375 2.0 1242.964333927684

1.0 0.0625 1099.527945616568
1.0 0.125 1093.927729732233
1.0 0.1875 1093.5134291136349
1.0 0.25 1095.224089477467
1.0 0.3125 1098.0987246166144
